Table 1
SKU,Product Name,MSRP,Dealer Prices,MAP/MRP,Brand,Mfg,Description,URL,Image 1 URL,Image 2 URL,Image 3 URL,Image 4 URL,Case Pack,Shipping Weight,Shipping Height,Shipping Width,Shipping Depth,Category,Free Shipping,UPC,Warehouse Zipcode,Average # of Days to Ship,,,
BB5,Bark Buddy Hush Puppy No-Bark Training System,39.99,18.50,,Bark Buddy,Black Dog Manufacturing,"<p>Barking is a dog’s natural way of reacting to stimuli. It is their  natural response when interacting with friends, family and even  strangers. It’s their own way of communicating fear, trust or just plain  curiosity.</p> <p>Although it’s quite normal for dogs to bark, excessive barking, can  be a potential problem if left unresolved. It can cause a disturbance in  your home and neighborhood. More importantly, we always make it a point  to try to make our dogs well-behaved both at home and in public places  as excessive barking can cause fear and alarm. Why do some dogs behave  this way? There might be several reasons why your dog is barking more  aggressively than he should.</p> <p>Black Dog offers you an all-in-one solution that can help with  training your dog to bark less and at the proper times – the Hush Puppy  No-Bark Training System (Model BB5).</p> <p>Proven effective and safe, its small, lightweight design is suited  for all types of dogs weighing 10 lbs. and up. Its durable collar is  adjustable from 5” to 24” ensuring that your dog is comfortable at all  times.</p> <p>The Hush Puppy BB5’s effectiveness lies in the fact that you can  easily select which level is appropriate to your dog’s needs. It  features 7 training levels to suit your dog’s temperament and behavior.  Our dogs are also the best security alarms, right? The Hush Puppy BB5  features 5 sensitivity levels to ensure that your dog is free to bark  whenever needed, most especially during potentially dangerous  situations.</p> <p>Giving the freedom for dogs to <em>be</em> dogs, the Hush Puppy BB5 is completely waterproof, allowing your dog to roam and explore as much as he wants and <em>still</em>  be on bark training. So you can bring him to the lake, the beach, the  pool, wherever you need to go. Batteries won’t be a problem either. It  comes with easily replaceable 6-volt alkaline batteries. Additional  features include an easy testing method to ensure that the collar is  working perfectly. It’s also easy to see the battery status as it comes  with a multi-color LED battery life indicator.</p> <p>The Hush Puppy – BB5 is packed with features you would expect to find  in other high priced brands only at up to half of their cost. If this  wasn’t enough, To help you with your dog's training, when you purchase  the Hush Puppy No-Bark Training System (Model BB5), we’ve included an  exclusive digital download of training videos from renowned trainer  Phillip Paris, absolutely FREE.</p><p><span style=""font-weight: bold;"">Features:</span></p><ul><li>Collar size fits small, medium and large dogs weighing 10 lbs. and up</li><li>Durable adjustable collar from 5” to 24”</li><li>Up to 7 training levels: simply choose which best suits your dog</li><li>Up to 5 sensitivity levels: simply select which best fits your dog’s temperament</li><li>Waterproof: gives your dog freedom to explore wet environments</li><li>Exclusive Phillip Paris Training Videos</li><li>Replaceable 6-volt alkaline batteries included</li><li>Multi-color LED battery life indicator</li><li>Simple, user-friendly controls</li><li>Ergonomic design for maximum comfort and convenience</li><li>One Year Warranty<br></li></ul><p><span style=""font-weight: bold;"">What’s in the box?</span></p><ul><li>Bark control collar</li><li>6V Battery</li><li>Contact probes</li><li>Test light</li><li>Owners Manual</li><li>Digital Download of our Exclusive Training Videos from Phillip Paris</li></ul><p>What’s included in our training video – Comprehensive training on why dogs bark, and the proper way to use your Hush Puppy BB5 – No-Bark collar, Plus Bonus videos on:</p><ol><li>Proper Dog Training Equipment</li><li>Perfect Leash Walking</li><li>Teaching your Dog the Sit Command</li></ol><p>A $20 value FREE just for purchasing a BARKbuddy No-Bark Training  System. Don’t pay too much for a Bark Collar and waste your money, and  don’t risk buying a super cheap option that will only disappoint you.  With BARKbuddy you get the best of all worlds at a fair and reasonable  price.</p><p><iframe src=""https://player.vimeo.com/video/185833493"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" width=""640"" height=""360"" frameborder=""0""></iframe></p>",https://www.essentialpetproducts.com/Bark-Buddy-Hush-Puppy-No-Bark-Training-System_p_4062.html,https://www.essentialpetproducts.com/assets/images/BB5.jpg,http://www.essentialpetproducts.com/assets/images/BB5-2.jpg,http://www.essentialpetproducts.com/assets/images/BB5-3.jpg,http://www.essentialpetproducts.com/assets/images/BB5-4.jpg,6,0.60,10.00,7.00,4.00,Bark Control,,853449007044,33950,1,,,
BB7R,Bark Buddy Platinum Plus Rechargeable Bark Control Collar,49.99,23.19,,Bark Buddy,Black Dog Manufacturing,"<p>Dog owners understand the mutual happiness between humans and dogs during those times when dogs excitedly bark, yip and yap when you come through the front door after a long day at work.</p><p>But barking, no matter how cute it can sometimes be, isn’t cute anymore when it’s done excessively or when it’s starting to bother you and your neighbors. It can cause fear, annoyance, tension and many sleepless nights.</p><p>There are several reasons why your dog may bark excessively but whatever those reasons are, Black Dog offers you <em>ONE</em>, perfect solution: the Bark Buddy Platinum Plus Rechargeable No-Bark Training System (Model BB7R).</p><p>The Bark Buddy BB7R is an effective and inexpensive solution for training your dogs to bark less and only when necessary. Its compact design houses a full bark-training system that’s ideal for giving your dog the bark training that he needs.</p><p>You won’t need to worry about your dog’s active lifestyle. Designed for all kinds of environments, the Bark Buddy BB7R is completely waterproof so you won’t need to worry about postponing bark training because of that trip to the beach, you can take your dog along with you anywhere you need to go. Long, weekend trips won’t be a problem either. Since it’s rechargeable, you won’t need to worry about buying and replacing dead batteries.</p><p>Since dogs are also the best security alarms, we count on their barks to warn us during potentially dangerous situations. The Bark Buddy BB7R features a Pet Protection Mode which prevents over stimulation so your dog can still bark and warn the entire household when necessary. To prevent over stimulation, it also features a vibration warning prior to stimulation.</p><p>Black Dog also wants to give you the best dog training resources possible so the Bark Buddy BB7R also includes an exclusive digital download of training videos from renowned trainer, Phillip Paris. The Bark Buddy BB7R is a great, all-in-one solution to enjoying less barking and a quieter, relaxing home.</p><p><span style=""font-weight: bold;"">Features:</span></p><ul><li>Humane Vibration Warning feature</li><li>Up to 6 training levels: simply choose which best suits your dog</li><li>Up to 7 adjustable sensitivity levels: select which best fits your dog’s temperament</li><li>Waterproof: gives your dog freedom to explore wet environments</li><li>Rechargeable batteries</li><li>Multi-color LED battery life indicator</li><li>Pet Protection Mode: allows your dog to bark during urgent situations</li><li>Simple, user-friendly controls</li><li>Ergonomic design for maximum comfort and convenience</li><li>Collar size fits small, medium and large dogs weighing 10 lbs. and up</li><li>One Year Warranty<br></li></ul><p><span style=""font-weight: bold;"">What’s in the box?</span></p><ul><li>Bark control collar</li><li>Charger and charging cable</li><li>Contact probes</li><li>Test light</li><li>Owners Manual</li><li>Digital Download of our Exclusive Training Videos from Phillip Paris</li></ul><p>What’s included in our training video – Comprehensive training on why dogs bark, and the proper way to use your Platinum Plus Rechargeable BB7 – No-Bark collar, Plus Bonus videos on:</p><ol><li>Proper Dog Training Equipment</li><li>Perfect Leash Walking</li><li>Teaching your Dog the Sit Command</li></ol><p>A $20 value FREE just for purchasing a BARKbuddy No-Bark Training  System. Don’t pay too much for a Bark Collar and waste your money, and  don’t risk buying a super cheap option that will only disappoint you.  With BARKbuddy you get the best of all worlds at a fair and reasonable  price.</p><p><iframe src=""https://player.vimeo.com/video/185833493"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" width=""640"" height=""360"" frameborder=""0""></iframe></p>",https://www.essentialpetproducts.com/Bark-Buddy-Platinum-Plus-Rechargeable-Bark-Control-Collar_p_4061.html,https://www.essentialpetproducts.com/assets/images/BB7R.jpg,http://www.essentialpetproducts.com/assets/images/BB7R-2.jpg,http://www.essentialpetproducts.com/assets/images/BB7R-3.jpg,http://www.essentialpetproducts.com/assets/images/BB7R-4.jpg,6,0.80,10.00,7.00,4.00,Bark Control,,853449007037,33950,1,,,
BX-1/B,Pet Gate Extension - 10.5 Inches - Black,39.95,31.30,,Cardinal,Cardinal,"The pet gate extension is used with the Auto Lock Pet Gate - Model MG-15, Stairway Special Outdoor Pet Gate - Model SS-30 and Stairway Special Outdoor Pet Gate Model SS-30O. 10 1/2 inch extension for openings 40 1/2"" to 50 1/2""",https://www.essentialpetproducts.com/Pet-Gate-Extension--105-Inches--Black_p_5472.html,http://www.essentialpetproducts.com/assets/images/bx-1-pet-gate-extension.jpg,,,,1,4.00,29.00,12.00,2.00,Pet Gates/Gate Extensions,,635035004015,30265,2,,,
BX-1/BR,Pet Gate Extension - 10.5 Inches - Brown,39.95,31.30,,Cardinal,Cardinal,"The pet gate extension is used with the Auto Lock Pet Gate - Model MG-15, Stairway Special Outdoor Pet Gate - Model SS-30 and Stairway Special Outdoor Pet Gate Model SS-30O. 10 1/2 inch extension for openings 40 1/2"" to 50 1/2""",https://www.essentialpetproducts.com/Pet-Gate-Extension--105-Inches--Brown_p_5471.html,http://www.essentialpetproducts.com/assets/images/bx-1-pet-gate-extension.jpg,,,,1,4.00,29.00,12.00,2.00,Pet Gates/Gate Extensions,,635035003056,30265,2,,,
BX-1/W,Pet Gate Extension - 10.5 Inches - White,39.95,31.30,,Cardinal,Cardinal,"The pet gate extension is used with the Auto Lock Pet Gate - Model MG-15, Stairway Special Outdoor Pet Gate - Model SS-30 and Stairway Special Outdoor Pet Gate Model SS-30O. 10 1/2 inch extension for openings 40 1/2"" to 50 1/2""",https://www.essentialpetproducts.com/Pet-Gate-Extension--105-Inches--White_p_5470.html,http://www.essentialpetproducts.com/assets/images/bx-1-pet-gate-extension.jpg,,,,1,4.00,29.00,12.00,2.00,Pet Gates/Gate Extensions,,635035003018,30265,2,,,
BX12/T,Duragate Pet Gate Side Extension - Taupe,29.95,26.70,,Cardinal,Cardinal,"The Duragate Pet Gate Side Extension is a 12 1/2"" width extension used with MG-25 Duragate Pet Gate. The side extension enables you to close off a larger area.;Available in Taupe and White.",https://www.essentialpetproducts.com/Duragate-Pet-Gate-Side-Extension--Taupe_p_5468.html,http://www.essentialpetproducts.com/assets/images/bx12-duragate-pet-gate-side-extension.jpg,,,,1,5.00,29.00,14.00,2.00,Pet Gates/Gate Extensions,,635035012003,30265,2,,,
BX12/W,Duragate Pet Gate Side Extension - White,29.95,26.70,,Cardinal,Cardinal,"The Duragate Pet Gate Side Extension is a 12 1/2"" width extension used with MG-25 Duragate Pet Gate. The side extension enables you to close off a larger area.;Available in Taupe and White.",https://www.essentialpetproducts.com/Duragate-Pet-Gate-Side-Extension--White_p_5469.html,http://www.essentialpetproducts.com/assets/images/bx12-duragate-pet-gate-side-extension.jpg,,,,1,5.00,29.00,14.00,2.00,Pet Gates/Gate Extensions,,635035012102,30265,2,,,
BX-2/B,Pet Gate Extension - 21.75 Inches - Black,49.95,38.20,,Cardinal,Cardinal,"The pet gate extension is used with the Auto Lock Pet Gate - Model MG-15,;Stairway Special Outdoor Pet Gate - Model SS-30;and Stairway Special Outdoor Pet Gate Model SS-30O. The 21 3/4 inch extension is for openings 40 1/2 to 61 1/2"".",https://www.essentialpetproducts.com/Pet-Gate-Extension--2175-Inches--Black_p_5475.html,http://www.essentialpetproducts.com/assets/images/bx-2-pet-gate-extension.jpg,,,,1,7.00,29.00,23.00,2.00,Pet Gates/Gate Extensions,,635035004022,30265,2,,,
BX-2/BR,Pet Gate Extension - 21.75 Inches - Brown,49.95,38.20,,Cardinal,Cardinal,"The pet gate extension is used with the Auto Lock Pet Gate - Model MG-15,;Stairway Special Outdoor Pet Gate - Model SS-30;and Stairway Special Outdoor Pet Gate Model SS-30O. The 21 3/4 inch extension is for openings 40 1/2 to 61 1/2"".",https://www.essentialpetproducts.com/Pet-Gate-Extension--2175-Inches--Brown_p_5473.html,http://www.essentialpetproducts.com/assets/images/bx-2-pet-gate-extension.jpg,,,,1,7.00,29.00,23.00,2.00,Pet Gates/Gate Extensions,,635035004039,30265,2,,,
BX-2/W,Pet Gate Extension - 21.75 Inches - White,49.95,38.20,,Cardinal,Cardinal,"The pet gate extension is used with the Auto Lock Pet Gate - Model MG-15,;Stairway Special Outdoor Pet Gate - Model SS-30;and Stairway Special Outdoor Pet Gate Model SS-30O. The 21 3/4 inch extension is for openings 40 1/2 to 61 1/2"".",https://www.essentialpetproducts.com/Pet-Gate-Extension--2175-Inches--White_p_5474.html,http://www.essentialpetproducts.com/assets/images/bx-2-pet-gate-extension.jpg,,,,1,7.00,29.00,23.00,2.00,Pet Gates/Gate Extensions,,635035003025,30265,2,,,
